FULL_step_teacher,FULL_reward_teacher,FULL_step_student,FULL_reward_student,INT_step_teacher,INT_reward_teacher,INT_step_student,INT_reward_student,EXT_step_teacher,EXT_reward_teacher,EXT_step_student,EXT_reward_student
173,844.98388671875,173,682.7337646484375,173,85.84410095214844,173,34.226837158203125,173,-109.11443328857422,173,-114.85328674316406
174,724.8536987304688,174,748.344970703125,174,132.0780487060547,174,54.32902908325195,174,-108.56687927246094,174,-107.23341369628906
175,750.4361572265625,175,787.2332153320312,175,85.59691619873047,175,43.92828369140625,175,-113.4844741821289,175,-104.51786041259766
176,720.6205444335938,176,828.082275390625,176,132.57261657714844,176,89.57542419433594,176,-111.09405517578125,176,-110.71541595458984
177,825.5721435546875,177,783.0294799804688,177,169.13409423828125,177,121.82318115234375,177,-102.332763671875,177,-105.70597076416016
178,803.9972534179688,178,732.1218872070312,178,166.93019104003906,178,142.7586669921875,178,-105.51740264892578,178,-103.4097671508789
179,715.14697265625,179,732.5012817382812,179,160.22518920898438,179,156.44129943847656,179,-112.87625885009766,179,-105.43097686767578
180,751.2642822265625,180,819.5908813476562,180,146.8603057861328,180,151.29664611816406,180,-103.639892578125,180,-106.42987823486328
181,751.3174438476562,181,775.083251953125,181,212.012939453125,181,190.97140502929688,181,-105.81478118896484,181,-101.78096008300781
182,786.6024169921875,182,741.4267578125,182,158.3756103515625,182,190.03782653808594,182,-105.17396545410156,182,-105.9251480102539
183,664.771728515625,183,714.587646484375,183,174.31813049316406,183,192.32015991210938,183,-106.22795104980469,183,-109.68193817138672
184,800.1578979492188,184,795.5746459960938,184,137.28131103515625,184,137.3450469970703,184,-103.57595825195312,184,-111.68278503417969
185,794.3897094726562,185,750.2355346679688,185,165.90036010742188,185,137.82095336914062,185,-107.87427520751953,185,-109.96235656738281
186,734.1663208007812,186,771.7393798828125,186,165.43939208984375,186,124.21432495117188,186,-107.54781341552734,186,-111.89446258544922
187,772.3442993164062,187,772.4349365234375,187,240.94235229492188,187,169.1740264892578,187,-102.3026351928711,187,-105.91888427734375
188,671.5338134765625,188,743.0670166015625,188,192.1531524658203,188,198.17320251464844,188,-103.08416748046875,188,-97.47323608398438
189,896.2655639648438,189,752.9844970703125,189,215.793212890625,189,177.933349609375,189,-107.21578216552734,189,-107.74227142333984
190,818.9596557617188,190,726.4819946289062,190,232.0901641845703,190,172.636962890625,190,-97.6949691772461,190,-103.56753540039062
191,752.7089233398438,191,765.192626953125,191,246.75079345703125,191,177.02159118652344,191,-104.88312530517578,191,-102.16913604736328
192,844.63330078125,192,796.8489990234375,192,260.9270324707031,192,263.2854919433594,192,-101.81085205078125,192,-109.94025421142578
193,830.2847900390625,193,804.9074096679688,193,226.15969848632812,193,272.1476135253906,193,-100.31121826171875,193,-102.68917846679688
194,720.7158813476562,194,800.6683349609375,194,187.37567138671875,194,228.4809112548828,194,-105.95651245117188,194,-95.93916320800781
195,697.05322265625,195,867.0940551757812,195,240.0606231689453,195,170.86770629882812,195,-99.30378723144531,195,-102.62785339355469
196,753.6793212890625,196,865.69921875,196,230.33009338378906,196,195.3079071044922,196,-111.2490005493164,196,-106.05447387695312
197,816.4435424804688,197,840.4646606445312,197,213.9904327392578,197,175.9713897705078,197,-100.46638488769531,197,-99.15193939208984
198,773.6962280273438,198,775.6060791015625,198,271.1274719238281,198,124.0776596069336,198,-104.0987548828125,198,-102.06436157226562
199,742.1431274414062,199,726.4434204101562,199,319.2886047363281,199,147.47042846679688,199,-102.50562286376953,199,-107.00646209716797
200,838.8286743164062,200,725.2822875976562,200,273.81793212890625,200,210.35842895507812,200,-106.5525894165039,200,-98.33709716796875
201,877.81494140625,201,739.5223999023438,201,254.64334106445312,201,235.84152221679688,201,-95.49455261230469,201,-102.1751708984375
202,877.0807495117188,202,760.6152954101562,202,322.0473327636719,202,323.381103515625,202,-99.42415618896484,202,-105.06159973144531
203,805.217041015625,203,773.8223876953125,203,325.61224365234375,203,312.4136047363281,203,-95.94402313232422,203,-98.92840576171875
204,908.7680053710938,204,784.9031982421875,204,293.7396545410156,204,300.1448669433594,204,-100.9380111694336,204,-100.65235900878906
205,959.5272216796875,205,839.7319946289062,205,357.73358154296875,205,276.3759765625,205,-99.02033233642578,205,-98.83353424072266
206,762.6492309570312,206,881.7212524414062,206,320.372314453125,206,264.2652893066406,206,-96.13291931152344,206,-96.21895599365234
207,951.5277099609375,207,855.2041625976562,207,464.9164733886719,207,267.5755310058594,207,-94.84442138671875,207,-99.83821868896484
208,862.0157470703125,208,833.7587280273438,208,425.2807922363281,208,294.12298583984375,208,-96.1142807006836,208,-103.75538635253906
